Order Date,Region,Category,Channel,Units Sold,Unit Price,Sales,Cost,Profit,Year,Month,Month Name,Quarter,Profit Margin %
2023-01-04,South,Electronics,Distributor,6,172.74,1036.44,685.59,350.85,2023,1,Jan,1,33.85
2023-01-04,West,Groceries,Online,3,21.12,63.36,42.71,20.65,2023,1,Jan,1,32.59
2023-01-04,South,Groceries,Online,1,27.04,27.04,21.13,5.91,2023,1,Jan,1,21.86
2023-01-04,West,Groceries,Online,4,28.5,114.0,89.5,24.5,2023,1,Jan,1,21.49
2023-01-04,West,Apparel,Online,3,50.15,150.45,102.03,48.42,2023,1,Jan,1,32.18
2023-01-04,North,Electronics,Online,2,220.04,440.08,384.91,55.17,2023,1,Jan,1,12.54
2023-01-04,Central,Apparel,Distributor,3,40.41,121.23,104.75,16.48,2023,1,Jan,1,13.59
2023-01-04,Central,Home & Kitchen,Retail Store,1,73.86,73.86,52.22,21.64,2023,1,Jan,1,29.3
2023-01-05,North,Electronics,Online,1,225.37,225.37,180.27,45.1,2023,1,Jan,1,20.01
2023-01-05,North,Apparel,Online,3,36.88,110.64,77.02,33.62,2023,1,Jan,1,30.39
2023-01-05,North,Electronics,Online,2,159.93,319.86,274.95,44.91,2023,1,Jan,1,14.04
2023-01-05,North,Home & Kitchen,Online,5,73.7,368.5,309.68,58.82,2023,1,Jan,1,15.96
2023-01-05,East,Electronics,Online,1,155.52,155.52,131.42,24.1,2023,1,Jan,1,15.5
2023-01-05,North,Sports & Fitness,Online,2,57.55,115.1,92.58,22.52,2023,1,Jan,1,19.57
2023-01-05,East,Groceries,Online,8,27.09,216.72,143.38,73.34,2023,1,Jan,1,33.84
2023-01-05,North,Electronics,Retail Store,7,207.37,1451.59,1206.3,245.29,2023,1,Jan,1,16.9
2023-01-05,West,Home & Kitchen,Online,1,74.25,74.25,62.56,11.69,2023,1,Jan,1,15.74
2023-01-05,North,Home & Kitchen,Retail Store,1,55.69,55.69,40.41,15.28,2023,1,Jan,1,27.44
2023-01-05,West,Sports & Fitness,Retail Store,2,70.24,140.48,104.04,36.44,2023,1,Jan,1,25.94
2023-01-05,North,Groceries,Retail Store,4,28.56,114.24,85.94,28.3,2023,1,Jan,1,24.77
2023-01-05,East,Apparel,Distributor,4,45.33,181.32,148.16,33.16,2023,1,Jan,1,18.29
2023-01-05,North,Electronics,Online,8,232.85,1862.8,1574.82,287.98,2023,1,Jan,1,15.46
2023-01-05,Central,Groceries,Distributor,5,27.86,139.3,94.84,44.46,2023,1,Jan,1,31.92
2023-01-05,East,Groceries,Retail Store,3,27.24,81.72,64.33,17.39,2023,1,Jan,1,21.28
2023-01-05,South,Electronics,Online,6,231.7,1390.2,908.04,482.16,2023,1,Jan,1,34.68
2023-01-06,North,Apparel,Retail Store,2,43.57,87.14,73.99,13.15,2023,1,Jan,1,15.09
2023-01-06,North,Sports & Fitness,Online,2,64.91,129.82,96.46,33.36,2023,1,Jan,1,25.7
2023-01-06,East,Apparel,Online,5,54.69,273.45,179.94,93.51,2023,1,Jan,1,34.2
2023-01-06,West,Home & Kitchen,Online,7,64.48,451.36,340.77,110.59,2023,1,Jan,1,24.5
2023-01-06,North,Electronics,Online,9,203.87,1834.83,1393.91,440.92,2023,1,Jan,1,24.03
2023-01-06,South,Groceries,Online,2,22.69,45.38,36.79,8.59,2023,1,Jan,1,18.93
2023-01-06,Central,Home & Kitchen,Retail Store,4,77.01,308.04,257.82,50.22,2023,1,Jan,1,16.3
2023-01-06,North,Groceries,Distributor,4,19.14,76.56,53.37,23.19,2023,1,Jan,1,30.29
2023-01-06,North,Apparel,Distributor,3,39.84,119.52,86.8,32.72,2023,1,Jan,1,27.38
2023-01-06,South,Apparel,Retail Store,2,42.49,84.98,63.42,21.56,2023,1,Jan,1,25.37
2023-01-06,East,Electronics,Online,2,160.79,321.58,261.9,59.68,2023,1,Jan,1,18.56
2023-01-06,South,Apparel,Retail Store,6,44.01,264.06,172.46,91.6,2023,1,Jan,1,34.69
2023-01-06,West,Apparel,Online,13,45.71,594.23,505.49,88.74,2023,1,Jan,1,14.93
2023-01-06,North,Apparel,Online,1,49.36,49.36,35.73,13.63,2023,1,Jan,1,27.61
2023-01-06,North,Apparel,Retail Store,1,36.45,36.45,29.38,7.07,2023,1,Jan,1,19.4
2023-01-06,North,Electronics,Retail Store,2,190.05,380.1,287.97,92.13,2023,1,Jan,1,24.24
2023-01-06,North,Electronics,Online,13,185.63,2413.19,1708.74,704.45,2023,1,Jan,1,29.19
2023-01-06,Central,Sports & Fitness,Online,1,66.17,66.17,46.84,19.33,2023,1,Jan,1,29.21
2023-01-06,North,Sports & Fitness,Online,1,55.29,55.29,36.16,19.13,2023,1,Jan,1,34.6
2023-01-07,North,Apparel,Retail Store,8,45.02,360.16,270.58,89.58,2023,1,Jan,1,24.87
2023-01-07,North,Electronics,Distributor,1,180.79,180.79,158.04,22.75,2023,1,Jan,1,12.58
2023-01-07,North,Groceries,Retail Store,1,20.04,20.04,16.57,3.47,2023,1,Jan,1,17.32
2023-01-07,West,Electronics,Online,2,165.44,330.88,283.61,47.27,2023,1,Jan,1,14.29
2023-01-07,South,Groceries,Distributor,4,21.97,87.88,63.83,24.05,2023,1,Jan,1,27.37
2023-01-07,East,Home & Kitchen,Online,3,69.08,207.24,174.19,33.05,2023,1,Jan,1,15.95
2023-01-07,South,Electronics,Online,1,168.13,168.13,123.82,44.31,2023,1,Jan,1,26.35
2023-01-07,South,Home & Kitchen,Online,3,56.55,169.65,115.4,54.25,2023,1,Jan,1,31.98
2023-01-07,East,Sports & Fitness,Retail Store,3,44.62,133.86,109.52,24.34,2023,1,Jan,1,18.18
2023-01-07,North,Groceries,Online,2,19.86,39.72,33.21,6.51,2023,1,Jan,1,16.39
2023-01-07,North,Apparel,Distributor,4,56.09,224.36,155.25,69.11,2023,1,Jan,1,30.8
2023-01-07,North,Home & Kitchen,Online,1,68.32,68.32,50.77,17.55,2023,1,Jan,1,25.69
2023-01-07,Central,Groceries,Online,2,20.33,40.66,28.82,11.84,2023,1,Jan,1,29.12
2023-01-07,South,Apparel,Retail Store,1,39.17,39.17,32.88,6.29,2023,1,Jan,1,16.06
2023-01-07,North,Sports & Fitness,Retail Store,1,61.05,61.05,46.23,14.82,2023,1,Jan,1,24.28
2023-01-07,East,Apparel,Distributor,2,49.06,98.12,72.08,26.04,2023,1,Jan,1,26.54
2023-01-07,North,Apparel,Retail Store,5,41.16,205.8,146.92,58.88,2023,1,Jan,1,28.61
2023-01-07,West,Home & Kitchen,Retail Store,1,57.9,57.9,38.85,19.05,2023,1,Jan,1,32.9
2023-01-07,North,Home & Kitchen,Retail Store,2,55.6,111.2,76.21,34.99,2023,1,Jan,1,31.47
2023-01-07,East,Home & Kitchen,Online,10,74.99,749.9,633.6,116.3,2023,1,Jan,1,15.51
2023-01-07,East,Home & Kitchen,Online,5,82.37,411.85,274.75,137.1,2023,1,Jan,1,33.29
2023-01-07,South,Electronics,Distributor,15,148.93,2233.95,1793.65,440.3,2023,1,Jan,1,19.71
2023-01-07,West,Electronics,Online,4,192.37,769.48,514.35,255.13,2023,1,Jan,1,33.16
2023-01-07,East,Apparel,Online,4,39.45,157.8,117.59,40.21,2023,1,Jan,1,25.48
2023-01-08,North,Sports & Fitness,Online,6,56.27,337.62,282.73,54.89,2023,1,Jan,1,16.26
2023-01-08,East,Electronics,Online,3,209.23,627.69,542.93,84.76,2023,1,Jan,1,13.5
2023-01-08,East,Groceries,Retail Store,6,26.72,160.32,139.72,20.6,2023,1,Jan,1,12.85
2023-01-08,Central,Electronics,Retail Store,1,231.4,231.4,153.38,78.02,2023,1,Jan,1,33.72
2023-01-08,East,Electronics,Distributor,6,147.55,885.3,635.4,249.9,2023,1,Jan,1,28.23
2023-01-08,East,Groceries,Retail Store,4,26.94,107.76,88.64,19.12,2023,1,Jan,1,17.74
2023-01-08,South,Electronics,Retail Store,5,197.12,985.6,785.5,200.1,2023,1,Jan,1,20.3
2023-01-08,West,Electronics,Online,3,188.59,565.77,408.3,157.47,2023,1,Jan,1,27.83
2023-01-08,North,Electronics,Online,2,197.72,395.44,317.59,77.85,2023,1,Jan,1,19.69
2023-01-08,South,Home & Kitchen,Online,1,82.45,82.45,58.66,23.79,2023,1,Jan,1,28.85
2023-01-08,West,Electronics,Retail Store,1,176.01,176.01,125.78,50.23,2023,1,Jan,1,28.54
2023-01-08,Central,Apparel,Online,6,37.06,222.36,187.17,35.19,2023,1,Jan,1,15.83
2023-01-08,West,Electronics,Online,4,203.85,815.4,684.66,130.74,2023,1,Jan,1,16.03
2023-01-08,Central,Electronics,Retail Store,2,193.88,387.76,283.13,104.63,2023,1,Jan,1,26.98
2023-01-09,East,Electronics,Distributor,2,203.26,406.52,278.21,128.31,2023,1,Jan,1,31.56
2023-01-09,North,Groceries,Online,15,21.43,321.45,232.75,88.7,2023,1,Jan,1,27.59
2023-01-09,South,Groceries,Online,11,20.02,220.22,159.19,61.03,2023,1,Jan,1,27.71
2023-01-09,Central,Groceries,Retail Store,5,22.09,110.45,87.73,22.72,2023,1,Jan,1,20.57
2023-01-09,East,Electronics,Distributor,5,155.66,778.3,525.81,252.49,2023,1,Jan,1,32.44
2023-01-09,Central,Sports & Fitness,Distributor,2,48.78,97.56,76.96,20.6,2023,1,Jan,1,21.12
2023-01-09,East,Electronics,Online,1,175.51,175.51,152.11,23.4,2023,1,Jan,1,13.33
2023-01-09,West,Groceries,Online,2,23.51,47.02,34.97,12.05,2023,1,Jan,1,25.63
2023-01-09,South,Apparel,Retail Store,6,46.52,279.12,206.25,72.87,2023,1,Jan,1,26.11
2023-01-09,South,Apparel,Online,2,36.4,72.8,47.53,25.27,2023,1,Jan,1,34.71
2023-01-09,Central,Groceries,Online,9,18.82,169.38,135.24,34.14,2023,1,Jan,1,20.16
2023-01-09,South,Groceries,Online,6,24.5,147.0,99.82,47.18,2023,1,Jan,1,32.1
2023-01-09,North,Groceries,Online,3,26.39,79.17,51.5,27.67,2023,1,Jan,1,34.95
2023-01-09,West,Apparel,Retail Store,2,49.86,99.72,82.41,17.31,2023,1,Jan,1,17.36
2023-01-09,North,Sports & Fitness,Online,2,61.87,123.74,91.59,32.15,2023,1,Jan,1,25.98
2023-01-10,East,Electronics,Retail Store,2,150.52,301.04,237.74,63.3,2023,1,Jan,1,21.03
2023-01-10,East,Home & Kitchen,Online,1,79.95,79.95,56.02,23.93,2023,1,Jan,1,29.93
2023-01-10,North,Apparel,Online,3,51.81,155.43,116.77,38.66,2023,1,Jan,1,24.87
2023-01-10,North,Apparel,Retail Store,1,43.89,43.89,38.29,5.6,2023,1,Jan,1,12.76
2023-01-10,Central,Home & Kitchen,Retail Store,5,72.92,364.6,276.7,87.9,2023,1,Jan,1,24.11
2023-01-10,North,Home & Kitchen,Retail Store,5,82.43,412.15,357.77,54.38,2023,1,Jan,1,13.19
2023-01-10,East,Groceries,Distributor,6,26.56,159.36,137.3,22.06,2023,1,Jan,1,13.84
2023-01-10,West,Electronics,Online,1,163.73,163.73,107.33,56.4,2023,1,Jan,1,34.45
2023-01-10,North,Groceries,Online,5,23.01,115.05,99.54,15.51,2023,1,Jan,1,13.48
2023-01-10,North,Apparel,Online,10,40.5,405.0,340.8,64.2,2023,1,Jan,1,15.85
2023-01-10,North,Groceries,Retail Store,8,26.89,215.12,151.65,63.47,2023,1,Jan,1,29.5
2023-01-10,East,Electronics,Online,3,187.34,562.02,479.41,82.61,2023,1,Jan,1,14.7
2023-01-10,North,Groceries,Online,5,25.78,128.9,108.67,20.23,2023,1,Jan,1,15.69
2023-01-10,Central,Apparel,Retail Store,6,42.17,253.02,165.4,87.62,2023,1,Jan,1,34.63
2023-01-10,North,Electronics,Retail Store,1,157.6,157.6,123.02,34.58,2023,1,Jan,1,21.94
2023-01-10,Central,Apparel,Online,3,53.88,161.64,116.45,45.19,2023,1,Jan,1,27.96
2023-01-10,Central,Groceries,Online,9,22.5,202.5,165.46,37.04,2023,1,Jan,1,18.29
2023-01-10,East,Apparel,Retail Store,3,55.61,166.83,109.46,57.37,2023,1,Jan,1,34.39
2023-01-10,South,Home & Kitchen,Distributor,2,75.02,150.04,129.71,20.33,2023,1,Jan,1,13.55
2023-01-10,East,Groceries,Online,3,23.55,70.65,46.52,24.13,2023,1,Jan,1,34.15
2023-01-10,West,Groceries,Retail Store,3,20.46,61.38,45.06,16.32,2023,1,Jan,1,26.59
2023-01-10,South,Sports & Fitness,Online,1,57.01,57.01,37.47,19.54,2023,1,Jan,1,34.27
2023-01-10,West,Groceries,Retail Store,8,27.29,218.32,148.34,69.98,2023,1,Jan,1,32.05
2023-01-11,South,Electronics,Online,3,218.6,655.8,512.11,143.69,2023,1,Jan,1,21.91
2023-01-11,South,Home & Kitchen,Retail Store,1,57.45,57.45,50.07,7.38,2023,1,Jan,1,12.85
2023-01-11,West,Home & Kitchen,Online,4,80.22,320.88,267.18,53.7,2023,1,Jan,1,16.74
2023-01-11,North,Sports & Fitness,Online,4,57.54,230.16,189.45,40.71,2023,1,Jan,1,17.69
2023-01-11,North,Apparel,Distributor,3,39.34,118.02,77.08,40.94,2023,1,Jan,1,34.69
2023-01-11,Central,Electronics,Distributor,1,222.11,222.11,172.23,49.88,2023,1,Jan,1,22.46
2023-01-11,North,Electronics,Online,4,228.29,913.16,795.32,117.84,2023,1,Jan,1,12.9
2023-01-11,South,Home & Kitchen,Online,1,56.25,56.25,36.95,19.3,2023,1,Jan,1,34.31
2023-01-11,South,Sports & Fitness,Online,3,63.94,191.82,147.33,44.49,2023,1,Jan,1,23.19
2023-01-11,North,Home & Kitchen,Retail Store,1,81.54,81.54,68.39,13.15,2023,1,Jan,1,16.13
2023-01-11,Central,Sports & Fitness,Online,6,60.29,361.74,242.42,119.32,2023,1,Jan,1,32.99
2023-01-11,East,Groceries,Retail Store,1,22.28,22.28,17.83,4.45,2023,1,Jan,1,19.97
2023-01-11,Central,Sports & Fitness,Retail Store,5,44.84,224.2,184.01,40.19,2023,1,Jan,1,17.93
2023-01-11,West,Home & Kitchen,Online,2,75.37,150.74,124.73,26.01,2023,1,Jan,1,17.25
2023-01-11,Central,Apparel,Retail Store,7,44.8,313.6,206.05,107.55,2023,1,Jan,1,34.3
2023-01-12,Central,Electronics,Distributor,1,167.11,167.11,136.11,31.0,2023,1,Jan,1,18.55
2023-01-12,North,Electronics,Online,5,224.82,1124.1,926.26,197.84,2023,1,Jan,1,17.6
2023-01-12,South,Groceries,Retail Store,2,24.31,48.62,34.78,13.84,2023,1,Jan,1,28.47
2023-01-12,South,Home & Kitchen,Retail Store,8,75.34,602.72,397.93,204.79,2023,1,Jan,1,33.98
2023-01-12,North,Home & Kitchen,Online,1,67.72,67.72,47.04,20.68,2023,1,Jan,1,30.54
2023-01-12,East,Electronics,Retail Store,3,223.58,670.74,555.07,115.67,2023,1,Jan,1,17.25
2023-01-12,North,Home & Kitchen,Online,4,81.25,325.0,259.58,65.42,2023,1,Jan,1,20.13
2023-01-12,South,Apparel,Online,4,47.82,191.28,137.13,54.15,2023,1,Jan,1,28.31
2023-01-12,Central,Home & Kitchen,Online,6,63.09,378.54,300.01,78.53,2023,1,Jan,1,20.75
2023-01-12,West,Groceries,Online,4,24.94,99.76,69.25,30.51,2023,1,Jan,1,30.58
2023-01-12,South,Apparel,Retail Store,3,46.1,138.3,114.15,24.15,2023,1,Jan,1,17.46
2023-01-12,West,Groceries,Online,2,17.66,35.32,28.44,6.88,2023,1,Jan,1,19.48
2023-01-12,West,Electronics,Retail Store,3,214.41,643.23,482.16,161.07,2023,1,Jan,1,25.04
2023-01-12,Central,Groceries,Retail Store,3,24.85,74.55,58.85,15.7,2023,1,Jan,1,21.06
2023-01-12,West,Sports & Fitness,Retail Store,14,59.69,835.66,729.54,106.12,2023,1,Jan,1,12.7
2023-01-12,North,Home & Kitchen,Online,1,57.76,57.76,41.63,16.13,2023,1,Jan,1,27.93
2023-01-12,West,Electronics,Online,7,204.61,1432.27,940.89,491.38,2023,1,Jan,1,34.31
2023-01-12,South,Electronics,Online,9,185.71,1671.39,1324.83,346.56,2023,1,Jan,1,20.73
2023-01-13,East,Apparel,Online,12,56.69,680.28,520.89,159.39,2023,1,Jan,1,23.43
2023-01-13,North,Apparel,Online,4,37.97,151.88,100.92,50.96,2023,1,Jan,1,33.55
2023-01-13,East,Home & Kitchen,Online,2,77.42,154.84,111.02,43.82,2023,1,Jan,1,28.3
2023-01-13,South,Electronics,Distributor,1,192.6,192.6,132.19,60.41,2023,1,Jan,1,31.37
2023-01-13,North,Apparel,Retail Store,8,56.86,454.88,375.75,79.13,2023,1,Jan,1,17.4
2023-01-13,East,Sports & Fitness,Online,11,49.53,544.83,412.31,132.52,2023,1,Jan,1,24.32
2023-01-13,South,Apparel,Retail Store,5,46.47,232.35,201.25,31.1,2023,1,Jan,1,13.38
2023-01-13,Central,Electronics,Online,9,175.95,1583.55,1368.24,215.31,2023,1,Jan,1,13.6
2023-01-13,Central,Electronics,Online,5,151.15,755.75,650.17,105.58,2023,1,Jan,1,13.97
2023-01-13,North,Groceries,Online,1,25.49,25.49,18.37,7.12,2023,1,Jan,1,27.93
2023-01-13,West,Home & Kitchen,Retail Store,2,68.14,136.28,88.96,47.32,2023,1,Jan,1,34.72
2023-01-13,North,Groceries,Distributor,4,18.65,74.6,65.24,9.36,2023,1,Jan,1,12.55
2023-01-13,South,Groceries,Online,1,22.57,22.57,16.82,5.75,2023,1,Jan,1,25.48
2023-01-13,East,Electronics,Retail Store,3,202.58,607.74,460.31,147.43,2023,1,Jan,1,24.26
2023-01-14,North,Home & Kitchen,Online,1,59.84,59.84,39.23,20.61,2023,1,Jan,1,34.44
2023-01-14,West,Groceries,Online,2,20.46,40.92,28.85,12.07,2023,1,Jan,1,29.5
2023-01-14,Central,Apparel,Online,1,45.32,45.32,31.26,14.06,2023,1,Jan,1,31.02
2023-01-14,Central,Groceries,Retail Store,6,22.29,133.74,113.67,20.07,2023,1,Jan,1,15.01
2023-01-14,West,Apparel,Online,3,41.38,124.14,105.18,18.96,2023,1,Jan,1,15.27
2023-01-14,North,Apparel,Online,2,37.4,74.8,57.06,17.74,2023,1,Jan,1,23.72
2023-01-14,Central,Home & Kitchen,Distributor,1,62.13,62.13,47.44,14.69,2023,1,Jan,1,23.64
2023-01-14,North,Home & Kitchen,Online,2,52.84,105.68,89.71,15.97,2023,1,Jan,1,15.11
2023-01-14,North,Groceries,Distributor,8,24.27,194.16,136.71,57.45,2023,1,Jan,1,29.59
2023-01-14,North,Apparel,Online,1,50.42,50.42,34.83,15.59,2023,1,Jan,1,30.92
2023-01-14,South,Groceries,Distributor,1,26.29,26.29,21.29,5.0,2023,1,Jan,1,19.02
2023-01-14,South,Electronics,Retail Store,4,157.68,630.72,546.13,84.59,2023,1,Jan,1,13.41
2023-01-15,North,Home & Kitchen,Retail Store,4,68.52,274.08,222.43,51.65,2023,1,Jan,1,18.84
2023-01-15,Central,Electronics,Online,7,209.34,1465.38,1013.91,451.47,2023,1,Jan,1,30.81
2023-01-15,East,Groceries,Retail Store,5,23.6,118.0,77.12,40.88,2023,1,Jan,1,34.64
2023-01-15,West,Groceries,Retail Store,2,20.37,40.74,28.78,11.96,2023,1,Jan,1,29.36
2023-01-15,East,Sports & Fitness,Online,2,61.76,123.52,100.58,22.94,2023,1,Jan,1,18.57
2023-01-15,South,Sports & Fitness,Online,4,55.88,223.52,174.11,49.41,2023,1,Jan,1,22.11
2023-01-15,South,Sports & Fitness,Retail Store,9,62.05,558.45,474.98,83.47,2023,1,Jan,1,14.95
2023-01-15,Central,Apparel,Retail Store,1,38.73,38.73,28.6,10.13,2023,1,Jan,1,26.16
2023-01-15,West,Home & Kitchen,Retail Store,8,83.48,667.84,465.01,202.83,2023,1,Jan,1,30.37
2023-01-15,West,Apparel,Online,7,40.17,281.19,236.19,45.0,2023,1,Jan,1,16.0
2023-01-15,North,Groceries,Online,1,17.73,17.73,11.7,6.03,2023,1,Jan,1,34.01
2023-01-15,East,Electronics,Retail Store,4,205.22,820.88,714.51,106.37,2023,1,Jan,1,12.96
2023-01-15,Central,Apparel,Retail Store,10,56.14,561.4,411.82,149.58,2023,1,Jan,1,26.64
2023-01-15,Central,Groceries,Online,2,26.85,53.7,46.78,6.92,2023,1,Jan,1,12.89
2023-01-15,East,Apparel,Online,1,53.66,53.66,36.21,17.45,2023,1,Jan,1,32.52
2023-01-15,East,Apparel,Retail Store,3,43.31,129.93,92.3,37.63,2023,1,Jan,1,28.96
2023-01-15,North,Home & Kitchen,Retail Store,1,52.68,52.68,45.36,7.32,2023,1,Jan,1,13.9
2023-01-16,South,Home & Kitchen,Retail Store,2,64.47,128.94,96.51,32.43,2023,1,Jan,1,25.15
2023-01-16,East,Electronics,Online,1,146.36,146.36,127.98,18.38,2023,1,Jan,1,12.56
2023-01-16,West,Electronics,Retail Store,4,182.67,730.68,496.33,234.35,2023,1,Jan,1,32.07
2023-01-16,South,Electronics,Online,2,212.35,424.7,329.8,94.9,2023,1,Jan,1,22.35
2023-01-16,North,Groceries,Online,9,19.35,174.15,128.81,45.34,2023,1,Jan,1,26.04
2023-01-16,North,Groceries,Retail Store,2,18.36,36.72,31.83,4.89,2023,1,Jan,1,13.32
2023-01-16,North,Home & Kitchen,Retail Store,2,82.33,164.66,120.57,44.09,2023,1,Jan,1,26.78
2023-01-16,Central,Electronics,Retail Store,2,187.47,374.94,318.44,56.5,2023,1,Jan,1,15.07
2023-01-16,West,Groceries,Retail Store,1,22.37,22.37,19.23,3.14,2023,1,Jan,1,14.04
2023-01-16,North,Apparel,Distributor,5,44.29,221.45,172.03,49.42,2023,1,Jan,1,22.32
